                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68157,                0.38034,                0.88383,                0.89596,                0.75338,                0.84159,                0.54848,                0.90704,                0.43644,                0.92624,             0.00025573,             0.00025573,             0.00025573
                     37,                0.66757,                0.37576,                0.88355,                0.84746,                0.78012,                0.83248,                0.53698,                0.90526,                0.44005,                0.92193,             0.00023924,             0.00023924,             0.00023924
                     38,                0.68002,                0.38055,                0.88677,                0.91438,                0.75579,                 0.8396,                0.54364,                0.90119,                0.44065,                0.92226,             0.00022274,             0.00022274,             0.00022274
                     39,                0.66885,                0.37347,                0.88172,                0.87876,                0.78013,                 0.8427,                 0.5452,                0.90592,                0.44006,                0.91995,             0.00020625,             0.00020625,             0.00020625
                     40,                0.66126,                0.37131,                0.88256,                0.88093,                0.77338,                0.84328,                0.54464,                0.89681,                0.43783,                0.92143,             0.00018976,             0.00018976,             0.00018976
                     41,                0.63335,                0.33233,                0.84716,                 0.9037,                0.75913,                0.83686,                0.54004,                0.90179,                0.44606,                0.92473,             0.00017326,             0.00017326,             0.00017326
                     42,                 0.6105,                0.32282,                0.84289,                0.85702,                0.77523,                0.84084,                0.53654,                0.89596,                0.44643,                0.91551,             0.00015677,             0.00015677,             0.00015677
                     43,                 0.6037,                0.32022,                0.84526,                0.88403,                0.77225,                0.85312,                0.55379,                0.88864,                0.44625,                0.91337,             0.00014028,             0.00014028,             0.00014028
                     44,                 0.5994,                0.31875,                0.84243,                0.90461,                0.75939,                0.84515,                0.55779,                0.87557,                0.43781,                0.91341,             0.00012378,             0.00012378,             0.00012378
                     45,                0.59129,                0.31196,                0.84069,                0.89226,                0.77607,                0.84835,                0.55517,                0.87096,                0.42896,                0.91406,             0.00010729,             0.00010729,             0.00010729
                     46,                0.58448,                0.30887,                 0.8378,                0.89755,                0.77161,                0.84882,                 0.5584,                0.86399,                0.42671,                0.91445,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.57625,                0.30569,                0.83569,                0.90405,                0.76726,                0.85126,                0.56336,                0.85997,                0.42172,                0.91521,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.56664,                0.30289,                0.83742,                0.87937,                 0.7813,                0.85336,                0.56282,                0.86609,                0.42513,                0.91818,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.56607,                 0.3014,                0.83479,                0.86605,                 0.7859,                0.84916,                0.56087,                0.85702,                0.42612,                0.91527,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.56509,                0.29836,                0.83735,                0.87239,                0.78865,                0.85229,                0.56557,                0.85229,                0.41973,                0.91526,             2.4823e-05,             2.4823e-05,             2.4823e-05
